,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (FastImg) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (FastImg) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (FastImg) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (FastImg) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (FastImg) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
-- Parameters --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid
Band,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Low,Low,Low,Mid2,Mid2,Mid2,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid1,Mid1,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b
Frequency Min [GHz],0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.15,0.65,0.65,0.65,1.25,1.25,1.25,0.15,0.15,0.15,0.95,0.95,0.95,0.79,0.79,0.79,0.79,0.79,0.79,0.79,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.415,0.65,0.65,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.35,0.35,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9
Frequency Max [GHz],0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.35,0.35,0.35,0.95,0.95,0.95,1.55,1.55,1.55,0.35,0.35,0.35,1.76,1.76,1.76,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.56,1.56,1.56,1.425,0.95,0.95,12.0,12.0,12.0,12.0,12.0,12.0,1.7,1.7,1.7,1.7,1.7,1.7,1.05,1.05,1.05,1.05,1.05,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,Ingest,RCAL,FastImg,Ingest,RCAL,FastImg,Ingest,RCAL,FastImg,Ingest,RCAL,FastImg,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,41000,41000,41000,41000,41000,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
